set_piece_type,delivery_type,delivery_zone,defensive_scheme,num_defenders_box,num_attackers_box,aerial_threat,second_ball_runners,near_post_decoy,gk_screen,blocker_action,taker_foot_matches,runner_from_deep,overload_far_post,second_wave_runner,quick_delivery,dummy_run,xg,second_ball_won
goal_kick,driven,near_post,Man-to-Man,6,7,10,0,0,1,0,1,1,0,0,0,0,0.1378,1
free_kick_wide,outswinger,edge_box,Man-to-Man,7,6,3,3,0,0,0,1,0,1,0,0,1,0.1227,1
goal_kick,straight,wide_channel,Deep Zonal,4,2,6,0,0,1,1,0,1,0,0,0,1,0.1135,1
throw_in,inswinger,central,Deep Zonal,10,2,8,3,0,0,0,0,1,1,0,1,0,0.112,1
corner,inswinger,six_yard,High Zonal,8,3,7,0,0,0,0,1,0,0,1,0,1,0.2129,1
play_restart,long,edge_box,Deep Zonal,7,4,5,1,0,0,0,1,1,1,0,0,0,0.0311,1
goal_kick,inswinger,wide_channel,High Zonal,8,3,5,1,0,1,0,0,0,1,0,1,0,0.0697,0
goal_kick,short,far_post,Deep Zonal,8,1,6,0,0,0,0,1,1,0,1,1,0,0.0203,1
corner,long,near_post,Hybrid,6,4,5,2,1,0,0,0,0,1,0,1,0,0.1344,1
free_kick_central,inswinger,near_post,High Zonal,4,3,4,1,0,0,1,1,1,1,0,0,0,0.1568,1
free_kick_wide,straight,edge_box,Man-to-Man,7,3,9,0,0,0,0,1,0,1,1,0,0,0.1043,1
play_restart,long,six_yard,High Zonal,10,6,8,1,0,0,0,1,1,0,0,0,0,0.1128,1
throw_in,driven,far_post,Man-to-Man,3,3,7,2,0,0,1,1,0,1,1,0,0,0.1386,1
goal_kick,outswinger,near_post,Deep Zonal,6,7,2,3,0,0,0,1,1,1,0,0,0,0.0867,1
free_kick_central,lofted,near_post,Man-to-Man,10,1,6,0,0,1,1,0,0,0,0,0,0,0.159,0
corner,driven,penalty_spot,Deep Zonal,8,4,3,0,0,0,0,1,0,1,0,1,0,0.1066,1
penalty,long,wide_channel,Hybrid,3,7,2,0,0,0,0,0,1,0,1,0,0,0.7601,1
corner,straight,far_post,Man-to-Man,10,3,3,3,0,0,1,1,1,0,1,0,1,0.1052,1
goal_kick,long,edge_box,Man-to-Man,3,5,2,2,0,0,0,1,0,0,1,0,0,0.0353,0
throw_in,driven,penalty_spot,Man-to-Man,7,6,8,1,1,0,0,0,0,1,0,0,1,0.1927,1
goal_kick,outswinger,six_yard,Hybrid,4,3,6,2,0,0,1,0,0,1,0,1,1,0.1218,1
free_kick_wide,lofted,six_yard,Man-to-Man,5,5,8,4,0,0,1,0,1,1,0,0,1,0.201,1
play_restart,lofted,central,High Zonal,6,5,10,3,0,0,1,1,0,0,0,0,0,0.1271,1
kick_off,straight,edge_box,High Zonal,5,4,3,4,1,0,0,0,1,1,1,0,1,0.1498,1
goal_kick,long,six_yard,Man-to-Man,10,3,2,1,0,1,1,0,0,0,0,1,0,0.1339,1
corner,short,wide_channel,Deep Zonal,8,4,2,0,0,1,1,0,0,0,0,0,0,0.0473,1
free_kick_central,long,penalty_spot,Man-to-Man,6,2,1,3,0,0,0,1,1,0,1,0,0,0.1635,1
corner,driven,near_post,Man-to-Man,5,4,1,4,1,0,0,0,0,0,1,0,0,0.1203,0
corner,inswinger,penalty_spot,High Zonal,7,3,6,0,0,0,0,1,0,0,1,1,0,0.1209,1
throw_in,inswinger,edge_box,Man-to-Man,6,3,7,3,0,0,0,0,1,0,0,0,0,0.1072,1
goal_kick,outswinger,central,Hybrid,10,2,3,2,0,1,0,1,0,0,0,0,0,0.0828,1
play_restart,lofted,wide_channel,Deep Zonal,5,4,6,4,1,1,1,1,0,0,1,0,0,0.125,1
free_kick_wide,straight,central,Hybrid,9,1,3,0,0,1,0,1,0,1,1,0,0,0.1179,0
free_kick_wide,driven,wide_channel,Hybrid,7,1,8,1,0,0,1,1,0,0,0,0,0,0.072,0
free_kick_central,straight,far_post,Deep Zonal,5,2,8,3,0,0,0,1,0,0,0,0,0,0.1082,1
corner,outswinger,near_post,Hybrid,7,4,8,4,0,1,0,1,0,0,1,1,1,0.1222,1
corner,lofted,penalty_spot,Hybrid,4,2,6,4,0,0,1,1,0,0,0,0,1,0.1599,1
free_kick_central,short,penalty_spot,Hybrid,7,4,9,2,1,0,1,0,1,1,1,0,1,0.2239,1
corner,straight,six_yard,Deep Zonal,9,2,1,1,0,1,0,1,0,1,0,0,0,0.0791,0
throw_in,inswinger,penalty_spot,Man-to-Man,8,3,5,0,0,0,1,1,1,0,1,1,0,0.1582,1
free_kick_wide,inswinger,near_post,Man-to-Man,3,4,1,2,0,0,1,1,0,0,1,0,1,0.161,0
goal_kick,inswinger,wide_channel,Deep Zonal,8,3,9,4,0,0,0,1,0,0,0,0,1,0.0685,1
throw_in,straight,penalty_spot,Man-to-Man,3,1,1,1,0,1,0,1,0,1,1,1,0,0.1158,1
free_kick_wide,short,central,Hybrid,6,5,5,4,0,0,0,1,0,1,0,0,0,0.1645,1
goal_kick,outswinger,six_yard,High Zonal,8,2,2,1,1,0,0,0,0,1,0,0,0,0.1,1
goal_kick,inswinger,near_post,Hybrid,11,4,8,0,1,0,0,1,1,1,0,1,0,0.0845,1
free_kick_wide,outswinger,near_post,Deep Zonal,11,5,5,3,0,0,0,1,0,0,0,0,0,0.0705,0
corner,straight,penalty_spot,Hybrid,7,1,6,2,1,0,0,1,1,1,1,0,0,0.1419,0
throw_in,lofted,penalty_spot,High Zonal,4,5,10,3,1,0,1,0,1,1,0,0,1,0.1947,0
corner,straight,far_post,Hybrid,10,3,10,4,0,0,0,1,0,1,0,0,1,0.1408,1
